DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1930-01,,0,0,11,9,2,2,0,15,1,1,0,15,2,2,1.14,71,,688,5.36,,3,42.8,50.9,34.7,,,,,,,,,,,
1930-02,,3,3,6,2,0,0,0,3,0,4,0,24,0,0,0.54,77,,371,1.02,,0,51.9,61.2,42.5,,,,,,,,,,,
1930-03,,3,0,9,7,0,0,0,3,0,1,0,21,0,0,1.62,70,,487,4.34,,0,49.3,57.5,41.1,,,,,,,,,,,
1930-04,,67,63,6,3,0,0,0,0,0,19,0,43,0,0,0.65,85,,109,1.4,,0,63.5,73,53.9,,,,,,,,,,,
1930-05,,238,171,14,11,0,0,0,0,0,31,0,53,0,0,2,88,,2,6.51,,0,70.4,79,61.9,,,,,,,,,,,
1930-06,,546,308,10,6,0,0,0,0,0,30,9,53,0,0,0.55,99,,2,1.44,,0,75.2,84.6,65.8,,,,,,,,,,,
1930-07,,1051,505,8,5,0,0,0,0,0,31,23,64,0,0,0.66,103,0,0,1.49,,0,81.3,91.3,71.2,,,,,,,,,,,
1930-08,,1481,430,8,2,0,0,0,0,0,31,12,57,0,0,0.63,98,0,0,0.96,,0,78.9,87.9,69.9,,,,,,,,,,,
1930-09,,1800,319,14,9,0,0,0,0,0,29,6,56,0,0,0.71,92,0,0,3.52,,0,75.6,83.4,67.9,,,,,,,,,,,
1930-10,,1835,35,6,4,0,0,0,1,0,16,0,32,0,0,0.6,79,189,189,1.25,,0,60,68.3,51.8,,,,,,,,,,,
1930-11,,1840,4,11,7,0,0,0,6,0,1,0,23,0,0,1.53,76,656,467,5.94,,0,49.6,56,43.2,,,,,,,,,,,
1930-12,,1840,0,10,6,2,0,0,15,1,0,0,23,1,0,1.57,57,1444,788,3.46,,0,39.6,45.6,33.5,,,,,,,,,,,
1931-01,,0,0,10,6,0,0,0,10,0,0,0,18,0,0.1,0.81,64,2114,670,2.61,,0.1,43.4,50.5,36.3,,,,,,,,,,,
1931-02,,0,0,10,6,0,0,0,5,0,0,0,25,0,0,0.67,67,2602,488,2.4,,0,47.6,56.1,39,,,,,,,,,,,
1931-03,,0,0,9,5,0,0,0,7,0,0,0,29,0,0,1.29,68,3170,569,3.46,,0,46.7,55.3,38,,,,,,,,,,,
1931-04,,18,18,11,4,0,0,0,0,0,18,0,38,0,0,0.55,82,3353,182,1.84,,0,59.5,68.9,50.2,,,,,,,,,,,
1931-05,,136,117,9,6,0,0,0,0,0,24,0,46,0,0,0.68,89,3420,67,2.78,,0,66.6,76,57.2,,,,,,,,,,,
1931-06,,566,430,4,2,0,0,0,0,0,30,19,53,0,0,0.14,101,3420,0,0.39,,0,79.3,89.9,68.7,,,,,,,,,,,
