DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1936-01,,0,0,15,8,14,2,0,26,11,0,0,4,11,10,1.46,54,,1141,6.46,,13.3,28.2,35.3,21,,,,,,,,,,,
1936-02,,0,0,9,5,29,3,0,26,18,0,0,4,14,9.1,1.46,46,,1224,3.67,,12.6,22.8,30.1,15.5,,,,,,,,,,,
1936-03,,0,0,12,9,3,1,0,9,2,1,0,15,1,2.7,1.55,70,,721,6.41,,3.3,41.7,49.1,34.4,,,,,,,,,,,
1936-04,,4,4,14,8,0,0,0,3,0,3,0,29,0,0,1.15,80,,596,3.54,,0,45.3,52.7,37.8,,,,,,,,,,,
1936-05,,52,48,8,3,0,0,0,0,0,18,2,34,0,0,0.59,91,,183,1.7,,0,60.6,71.1,50.2,,,,,,,,,,,
1936-06,,129,77,9,5,0,0,0,0,0,23,0,52,0,0,1.07,85,,32,2.37,,0,66.5,74.6,58.3,,,,,,,,,,,
1936-07,,322,193,8,4,0,0,0,0,0,30,3,57,0,0,0.48,98,2,2,1.02,,0,71.1,80,62.2,,,,,,,,,,,
1936-08,,496,174,11,8,0,0,0,0,0,25,4,54,0,0,1.44,94,30,28,5.16,,0,69.7,78,61.4,,,,,,,,,,,
1936-09,,544,48,11,4,0,0,0,0,0,17,1,41,0,0,2.1,90,150,120,3.79,,0,62.6,70,55.2,,,,,,,,,,,
1936-10,,553,9,8,4,0,0,0,3,0,9,0,25,0,0,1.63,79,486,336,2.67,,0,54.5,62.8,46.1,,,,,,,,,,,
1936-11,,556,3,9,4,2,1,0,16,3,1,0,13,4,3.8,0.39,75,1254,768,1.33,,4.4,39.5,47.5,31.5,,,,,,,,,,,
1936-12,,556,0,15,12,0,0,0,21,4,0,0,10,0,0.7,1.81,59,2186,932,8.18,,0.7,35,42.9,27,,,,,,,,,,,
1937-01,,0,0,15,14,1,0,0,21,3,0,0,15,1,0.8,0.66,64,3042,856,3.93,,2,37.4,45.3,29.5,,,,,,,,,,,
1937-02,,0,0,6,4,0,0,0,23,3,0,0,10,0,0,0.63,56,3932,890,1.31,,0,33.2,39.8,26.6,,,,,,,,,,,
1937-03,,0,0,9,6,1,0,0,26,3,0,0,15,1,0.9,1.15,57,4889,958,3.57,,1.9,34.1,41.7,26.5,,,,,,,,,,,
1937-04,,0,0,13,9,0,0,0,2,0,1,0,31,0,0,1.89,71,5481,592,5.34,,0,45.3,52.2,38.3,,,,,,,,,,,
1937-05,,26,26,13,6,0,0,0,0,0,12,1,42,0,0,0.79,93,5690,209,2.53,,0,59.1,68.1,50.1,,,,,,,,,,,
1937-06,,102,76,12,7,0,0,0,0,0,22,1,53,0,0,1.4,95,5724,34,3.46,,0,66.4,74.2,58.6,,,,,,,,,,,
1937-07,,359,257,8,5,0,0,0,0,0,29,6,55,0,0,0.35,99,2,2,1.17,,0,73.2,81.7,64.7,,,,,,,,,,,
1937-08,,663,303,10,8,0,0,0,0,0,29,6,57,0,0,1.48,98,9,7,4.94,,0,74.6,82.8,66.3,,,,,,,,,,,
1937-09,,729,66,7,6,0,0,0,0,0,13,2,45,0,0,1.76,93,138,128,3.69,,0,62.9,70.6,55.3,,,,,,,,,,,
1937-10,,732,2,8,5,0,0,0,1,0,4,0,32,0,0,1.36,74,523,385,3.95,,0,52.6,60.3,45,,,,,,,,,,,
1937-11,,732,0,11,6,0,0,0,7,1,0,0,23,0,0.3,1.98,66,1154,631,4.66,,0.3,44,51.2,36.7,,,,,,,,,,,
1937-12,,732,0,8,6,4,2,0,27,5,0,0,16,2,2.2,2.91,50,2202,1047,4.7,,4.6,31.2,37.4,25,,,,,,,,,,,
1938-01,,0,0,11,8,17,4,0,29,14,0,0,3,11,11,1.4,57,3349,1147,4.91,,31,28,35.2,20.8,,,,,,,,,,,
1938-02,,0,0,16,7,8,3,0,22,5,0,0,8,5,5,0.59,53,4313,964,2.23,,10,30.6,38,23.1,,,,,,,,,,,
1938-03,,0,0,10,5,1,0,0,15,1,1,0,7,1,0.3,0.69,78,5117,803,2.42,,0.4,39.1,47.3,30.9,,,,,,,,,,,
