DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1953-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953-05,,,284,8,6,0,0,0,0,0,27,13,47,0,0,1.43,96,,43,3.55,,0,72.8,82.9,62.6,,,,,180,,,,,36.9,
1953-06,,,676,2,1,0,0,0,0,0,30,29,69,0,0,0.54,105,,0,0.55,,0,87.5,98.5,76.5,,,,,180,,,,,38.9,
1953-07,,,622,7,4,0,0,0,0,0,31,23,65,0,0,0.3,103,0,0,0.97,,0,85.1,94.7,75.4,,,,,225,,,,,36.9,
1953-08,,,589,7,5,0,0,0,0,0,31,24,65,0,0,0.34,106,0,0,1.09,,0,84,94.4,73.6,,,,,360,,,,,46.1,
1953-09,,,423,3,2,0,0,0,0,0,30,21,56,0,0,1.54,105,0,0,1.68,,0,79.1,93.3,64.9,,,,,180,,,,,44.1,
1953-10,,,175,7,5,0,0,0,0,0,27,6,41,0,0,1.78,96,57,57,4.27,,0,68.8,79.5,58.1,,,,,360,,,,,34,
1953-11,,,2,5,4,0,0,0,0,0,11,0,33,0,0,0.94,75,398,341,2.09,,0,53.7,63.5,44,,,,,315,,,,,34,
1953-12,,,0,5,4,0,0,0,11,0,2,0,16,0,0,0.59,70,1020,622,1.32,,0,44.9,54.8,35,,,,,360,,,,,40.9,
1954-01,,0,0,10,5,3,1,0,12,2,5,0,13,1,1.3,0.81,74,1621,601,2.09,,1.3,45.6,55.8,35.4,,,,,360,,,,,40,
1954-02,,7,7,4,2,0,0,0,3,0,15,0,28,0,0,0.6,88,1874,253,0.73,,0,56.2,70.2,42.3,,,,,270,,,,,51.9,
1954-03,,56,48,4,1,0,1,0,6,0,14,1,25,0,1.7,0.51,93,2204,330,0.67,,1.7,55.9,67.4,44.4,,,,,270,,,,,80.1,
1954-04,,254,198,9,6,0,0,0,0,0,27,2,33,0,0,1.15,90,2234,29,3.62,,0,70.6,80.9,60.3,,,,,225,,,,,62,
1954-05,,432,178,6,6,0,0,0,0,0,26,3,41,0,0,2.48,95,2293,59,4.38,,0,68.8,78.5,59.1,,,,,90,,,,,47,
1954-06,,998,566,2,1,0,0,0,0,0,30,27,54,0,0,1.15,100,2293,0,1.2,,0,83.9,95.1,72.6,,,,,45,,,,,53.9,
1954-07,,1788,789,4,1,0,0,0,0,0,31,30,74,0,0,0.12,109,0,0,0.24,,0,90.5,101.9,79,,,,,180,,,,,51.9,
1954-08,,2524,736,2,2,0,0,0,0,0,31,31,68,0,0,0.5,106,0,0,0.81,,0,88.8,100.2,77.3,,,,,180,,,,,48.1,
1954-09,,3031,507,4,3,0,0,0,0,0,30,25,55,0,0,0.57,101,0,0,1.46,,0,81.9,94.9,68.9,,,,,225,,,,,45,
1954-10,,3262,231,5,4,0,0,0,0,0,25,6,38,0,0,0.77,95,79,79,2.35,,0,69.9,80,59.8,,,,,180,,,,,49,
1954-11,,3263,1,5,3,0,0,0,1,0,17,0,30,0,0,0.83,77,363,284,1.24,,0,55.6,67.6,43.5,,,,,315,,,,,40,
1954-12,,3263,0,3,2,0,0,0,8,0,6,0,29,0,0,0.45,80,837,473,0.78,,0,49.7,61.9,37.5,,,,,315,,,,,53,
1955-01,,5,5,8,1,0,0,0,12,0,3,0,25,0,0,0.86,74,1422,585,1.17,,0,46.3,55.4,37.2,,,,,315,,,,,46.1,
