DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1944-08,,,69,0,0,0,0,0,0,0,29,0,55,0,0,0,84,5,7,0,,0,67.1,74.7,59.5,,,,,,,,,,,
1944-09,,,49,0,0,0,0,0,0,0,20,1,51,0,0,0,92,20,15,0,,0,66.2,72.8,59.5,,,,,,,,,,,
1944-10,,,0,1,0,0,0,0,0,0,6,0,50,0,0,0.06,72,111,91,0.06,,0,61.9,67.8,56,,,,,,,,,,,
1944-11,,,0,10,7,0,0,0,0,0,4,0,42,0,0,1.07,76,340,230,3.77,,0,57.3,66,48.7,,,,,,,,,,,
1944-12,,,0,5,3,0,0,0,0,0,11,0,38,0,0,0.19,77,609,268,0.54,,0,56.4,67.2,45.5,,,,,,,,,,,
1945-01,,0,0,1,1,0,0,0,0,0,1,0,36,0,0,0.15,74,964,356,0.15,,0,53.5,63.4,43.6,,,,,,,,,,,
1945-02,,1,1,9,4,0,0,0,0,0,4,0,38,0,0,0.91,77,1251,286,2.74,,0,54.8,63.2,46.5,,,,,,,,,,,
1945-03,,5,4,12,9,0,0,0,0,0,2,0,35,0,0,0.55,85,1602,351,3.21,,0,53,62,43.9,,,,,,,,,,,
1945-04,,5,0,0,0,0,0,0,0,0,7,0,42,0,0,0,75,1844,241,0,,0,56.9,65.5,48.5,,,,,,,,,,,
1945-05,,8,2,0,0,0,0,0,0,0,3,0,48,0,0,0,79,2003,159,0,,0,60,67.7,52.2,,,,,,,,,,,
1945-06,,11,3,2,0,0,0,0,0,0,10,0,52,0,0,0.02,73,2070,67,0.03,,0,62.9,68.8,56.9,,,,,,,,,,,
1945-07,,89,78,0,0,0,0,0,0,0,25,0,57,0,0,0,83,10,10,0,,0,67.2,73.1,61.2,,,,,,,,,,,
1945-08,,208,119,0,0,0,0,0,0,0,28,0,56,0,0,0,88,10,0,0,,0,69.2,76.6,61.8,,,,,,,,,,,
1945-09,,,,0,0,0,0,0,0,0,25,0,53,0,0,0,87,,,0,,0,68.5,75.8,61.3,,,,,,,,,,,
1945-10,,,39,3,2,0,0,0,0,0,14,1,49,0,0,0.24,97,,52,0.46,,0,64.6,72.1,57,,,,,,,,,,,
1945-11,,,7,2,1,0,0,0,0,0,10,1,39,0,0,0.12,91,,228,0.18,,0,57.1,68.2,46.1,,,,,,,,,,,
1945-12,,,0,8,4,0,0,0,0,0,4,0,36,0,0,1.86,82,,297,4.45,,0,54.8,64,45.5,,,,,,,,,,,
1946-01,,0,0,4,0,0,0,0,0,0,6,0,34,0,0,0.08,76,,320,0.25,,0,54.4,65.6,43.1,,,,,,,,,,,
1946-02,,0,0,3,1,0,0,0,0,0,2,0,36,0,0,0.45,72,,379,0.53,,0,51.5,61.3,41.6,,,,,,,,,,,
1946-03,,0,0,8,6,0,0,0,0,0,4,0,41,0,0,0.86,80,,289,3.29,,0,55.2,63.4,46.9,,,,,,,,,,,
1946-04,,4,4,3,3,0,0,0,0,0,4,0,46,0,0,0.33,83,,173,0.65,,0,58.6,66.2,51,,,,,,,,,,,
1946-05,,4,0,0,0,0,0,0,0,0,3,0,50,0,0,0,70,,154,0,,0,59.9,65.7,54.1,,,,,,,,,,,
1946-06,,25,21,0,0,0,0,0,0,0,25,0,53,0,0,0,77,,20,0,,0,65,72.6,57.4,,,,,,,,,,,
1946-07,,110,84,0,0,0,0,0,0,0,30,0,56,0,0,0,80,0,0,0,,0,67.7,74.2,61.2,,,,,,,,,,,
1946-08,,207,97,0,0,0,0,0,0,0,31,0,56,0,0,0,82,1,1,0,,0,68.1,75,61.2,,,,,,,,,,,
