DATE,AWND,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN,WDF1,WDF2,WDF5,WDFG,WDFM,WSF1,WSF2,WSF5,WSFG,WSFM
1938-05,,,40,20,11,0,0,0,0,0,10,0,35,0,0,1.21,85,,297,6.98,0,56.7,65.4,48.1,,,,,,,,,,
1938-06,,,117,10,6,0,0,0,0,0,26,3,45,0,0,0.99,94,,30,2.96,0,67.9,78.2,57.6,,,,,,,,,,
1938-07,,,261,11,7,0,0,0,0,0,31,3,56,0,0,0.85,95,0,0,3.37,0,73.4,83.2,63.6,,,,,,,,,,
1938-08,,,276,10,6,0,0,0,0,0,31,8,51,0,0,0.9,95,2,2,3.46,0,73.8,84.9,62.7,,,,,,,,,,
1938-09,,,34,8,6,0,0,0,0,0,18,0,40,0,0,1.2,89,121,118,3.24,0,62.2,72.3,52.1,,,,,,,,,,
1938-10,,,28,5,2,1,1,0,4,0,15,0,26,1,1.4,0.66,86,445,324,0.85,1.9,55.4,66.9,44,,,,,,,,,,
1938-11,,,0,6,4,0,0,1,21,9,2,0,-1,0,0.4,0.38,71,1450,1005,1.3,0.5,31.5,39.2,23.8,,,,,,,,,,
1938-12,,,0,9,4,25,4,4,31,17,0,0,-16,5,2.1,0.19,45,2835,1385,0.77,9.1,20.3,27.7,13,,,,,,,,,,
1939-01,,0,0,11,3,31,2,3,31,22,0,0,-10,6,3.1,0.47,45,4240,1405,1.06,7.4,19.7,27.5,11.8,,,,,,,,,,
1939-02,,0,0,8,4,28,2,19,28,21,0,0,-25,12,8,0.45,43,5802,1563,0.88,11.1,9.2,20.4,-2.1,,,,,,,,,,
1939-03,,0,0,8,3,20,2,3,28,13,3,0,-1,7,3,0.2,78,6907,1105,0.61,6,29.4,39.3,19.4,,,,,,,,,,
1939-04,,0,0,11,4,2,1,0,16,2,6,0,15,2,2.7,0.69,83,7586,679,2.19,3.9,42.4,52.1,32.6,,,,,,,,,,
1939-05,,83,83,8,8,0,0,0,0,0,23,2,35,0,0,1.51,95,7712,126,3.55,0,63.8,76,51.7,,,,,,,,,,
1939-06,,231,148,14,10,0,0,0,0,0,25,2,45,0,0,1.27,92,7751,39,4.95,0,68.6,78.6,58.6,,,,,,,,,,
1939-07,,534,302,7,5,0,0,0,0,0,29,10,56,0,0,0.87,95,4,4,2.75,0,74.6,85.1,64.1,,,,,,,,,,
1939-08,,740,207,12,6,0,0,0,0,0,27,6,52,0,0,1.14,94,18,13,3.65,0,71.2,82.1,60.3,,,,,,,,,,
1939-09,,866,126,7,4,0,0,0,2,0,20,3,26,0,0,1.8,98,168,150,2.31,0,64.2,75.4,53,,,,,,,,,,
1939-10,,866,0,13,3,0,0,0,8,0,5,0,23,0,0.6,0.64,77,711,543,1.57,0.6,47.5,56.7,38.2,,,,,,,,,,
1939-11,,866,0,2,0,0,0,0,25,0,0,0,18,0,0,0.01,64,1532,820,0.02,0,37.7,48.3,27,,,,,,,,,,
1939-12,,866,0,5,3,13,1,2,30,15,0,0,-4,4,4.6,0.47,63,2689,1157,0.97,4.8,27.7,36.6,18.7,,,,,,,,,,
1940-01,,0,0,10,1,31,1,19,31,30,0,0,-22,6,2.7,0.15,35,4502,1814,0.37,5.1,6.5,14.2,-1.2,,,,,,,,,,
